124,14,,,,,,,,,,,,,
Distance to TSS,K562_dnase,K562_H2AFZ_broad,K562_H3K4me3_merge,K562_H3K4me1_usc,K562_H3K4me2_broad,K562_H3K9ac_merge,K562_H3K20me1_broad,K562_H3K27ac_broad,K562_H3K36me3_merge,K562_H3K79me2_broad,K562_H3K9me1_broad,K562_H3K9me3_broad,K562_H3K27me3_usc,score
-106,13.81,1.24,0.99,23.9,4.05,6.11,4.36,0,1.17,0.92,5.81,1.27,18,9.16915644
7,11.54,6.51,6.33,87.33,26.33,16.67,3.88,4.27,1.17,1.85,12.42,4.85,23.9,7.72688498
-178,2.66,1.24,0.49,17.81,0.68,3.33,5.33,0,0.84,0.31,3.2,1.5,22.04,7.68169699
151,0.76,0.31,0.66,2.61,0.68,0.74,1.94,0.71,1.34,0.31,4.81,5.66,14.59,6.98155541
-179,3.11,1.55,2.71,36.06,2.03,3.15,1.45,0.71,0.5,0.31,3.61,1.62,23.28,6.66511905
33,3.41,3.1,6,42.15,7.43,4.26,2.42,0.71,0.17,0.77,1.4,1.39,22.35,6.63250968
-143,1.18,0,0.25,13.47,0,1.11,0.97,0,0.17,0,2.4,1.96,19.87,6.5519738
-36,1.18,1.55,1.23,5.65,0.68,0.74,2.42,2.14,0.84,0.62,6.61,2.54,26.08,6.26159604
-329,2.51,0.93,1.48,26.07,3.38,2.78,1.45,0.71,0.33,0,2,1.15,29.8,6.07112831
53,3.23,2.79,6.74,43.02,9.45,3.33,1.94,0.71,0.33,0.77,1.4,1.39,22.97,6.02791406
-318,1.3,0.62,0.25,5.65,2.03,3.52,2.91,0.71,1,0.62,4.41,3.35,29.18,5.97536035
-76,4.11,7.13,5.26,5.21,32.4,5.74,5.81,2.14,1.34,0.31,11.02,3.35,12.42,5.96789279
-93,1.51,0.93,0.49,4.34,1.35,2.22,0,0,0.5,0.31,1.6,3.81,7.14,5.96287586
9,11.87,5.89,6.24,88.64,26.33,16.67,3.88,4.98,1.17,1.85,12.42,4.85,24.21,5.87850402
-4,0.82,0.31,0.49,10.86,0.68,1.85,2.91,0.71,0.33,0,4.01,2.31,15.83,5.76605459
-204,0.94,0.62,1.31,4.78,4.05,2.04,0,0,0.33,0,1.2,5.31,9,5.63413149
-140,2.08,0.62,0.16,9.99,1.35,3.52,0.48,0.71,0.33,0.31,3.2,2.43,22.66,5.54219285
-75,1.03,0.93,1.23,4.34,2.7,0.74,2.42,0.71,1.67,0.31,3.41,3.7,13.04,5.52605755
-129,2.05,0.93,0.25,9.99,1.35,3.52,0.48,0.71,0.33,0.31,3.2,1.96,22.35,5.04358742
-173,1.09,0,0.49,10.86,0,0.93,0.97,0,0.17,0.31,4.01,1.96,19.87,5.00536328
-231,16.56,3.41,19.96,22.59,16.2,8.52,0.48,0.71,0.17,0.31,3.2,2.77,12.73,4.8407007
33,5.74,0.62,1.31,34.76,2.7,4.07,1.45,0,0.33,0.92,5.01,1.04,14.28,4.68579678
-186,0.76,0.31,0.08,2.17,0,0.37,0.48,0,0.33,0,1,2.43,11.49,4.47381407
-374,0.79,0,0.41,11.73,1.35,1.48,4.36,0,0.17,0.92,5.21,3.12,19.25,4.41189462
-149,36.29,6.2,14.05,31.28,41.18,47.22,0.97,18.51,0.67,3.7,4.21,1.39,0.93,4.11193049
