144,10,,,,,,,,,
gccount,Distance.to.TSS,K562_dnase,K562_H3K9ac_merge,K562_H3K4me3_merge,K562_H3K4me1_usc,K562_H3K27ac_broad,K562_H3K36me3_merge,K562_H3K9me3_broad,K562_H3K27me3_usc,score
-0.259637311,2.025305865,1.140193679,0.78604121,-0.004364805,1.378397901,-2,0.068185862,0.103803721,1.255272505,9.16915644
-0.15490196,0.84509804,1.062205809,1.2219356,0.80140371,1.94116346,0.630427875,0.068185862,0.685741739,1.378397901,7.72688498
-0.187086643,2.250420002,0.424881637,0.522444234,-0.30980392,1.250663919,-2,-0.075720714,0.176091259,1.34321159,7.68169699
-0.22184875,2.178976947,-0.119186408,-0.13076828,-0.180456064,0.416640507,-0.148741651,0.127104798,0.752816431,1.164055292,6.98155541
-0.259637311,2.252853031,0.492760389,0.498310554,0.432969291,1.557025722,-0.148741651,-0.301029996,0.209515015,1.366982976,6.66511905
-0.15490196,1.51851394,0.532754379,0.629409599,0.77815125,1.624797579,-0.148741651,-0.769551079,0.1430148,1.349277527,6.63250968
-0.259637311,2.155336037,0.071882007,0.045322979,-0.602059991,1.129367596,-2,-0.769551079,0.292256071,1.298197867,6.5519738
-0.15490196,1.556302501,0.071882007,-0.13076828,0.089905111,0.752048448,0.330413773,-0.075720714,0.404833717,1.416307587,6.26159604
-0.124938737,2.517195898,0.399673721,0.444044796,0.170261715,1.416141031,-0.148741651,-0.48148606,0.06069784,1.474216264,6.07112831
-0.124938737,1.72427587,0.509202522,0.522444234,0.828659897,1.633670406,-0.148741651,-0.48148606,0.1430148,1.361160995,6.02791406
-0.15490196,2.50242712,0.113943352,0.546542663,-0.602059991,0.752048448,-0.148741651,0,0.525044807,1.465085288,5.97536035
-0.15490196,1.880813592,0.613841822,0.758911892,0.720985744,0.716837723,0.330413773,0.127104798,0.525044807,1.094121596,5.96789279
-0.187086643,1.968482949,0.178976947,0.346352974,-0.30980392,0.63748973,-2,-0.301029996,0.580924976,0.853698212,5.96287586
-0.15490196,0.954242509,1.074450719,1.2219356,0.79518459,1.947629747,0.697229343,0.068185862,0.685741739,1.383994789,5.87850402
-0.187086643,0.602059991,-0.086186148,0.267171728,-0.30980392,1.035829825,-0.148741651,-0.48148606,0.36361198,1.199480915,5.76605459
-0.045757491,2.309630167,-0.026872146,0.309630167,0.117271296,0.679427897,-2,-0.48148606,0.725094521,0.954242509,5.63413149
-0.15490196,2.146128036,0.318063335,0.546542663,-0.795880017,0.999565488,-0.148741651,-0.48148606,0.385606274,1.355259906,5.54219285
-0.187086643,1.875061263,0.012837225,-0.13076828,0.089905111,0.63748973,-0.148741651,0.222716471,0.568201724,1.115277591,5.52605755
-0.070581074,2.11058971,0.311753861,0.546542663,-0.602059991,0.999565488,-0.148741651,-0.48148606,0.292256071,1.349277527,5.04358742
-0.22184875,2.238046103,0.037426498,-0.031517051,-0.30980392,1.035829825,-2,-0.769551079,0.292256071,1.298197867,5.00536328
-0.070581074,2.36361198,1.219060332,0.930439595,1.300160537,1.353916231,-0.148741651,-0.769551079,0.442479769,1.104828404,4.8407007
-0.096910013,1.51851394,0.758911892,0.609594409,0.117271296,1.541079768,-2,-0.48148606,0.017033339,1.154728207,4.68579678
-0.187086643,2.269512944,-0.119186408,-0.431798276,-1.096910013,0.336459734,-2,-0.48148606,0.385606274,1.060320029,4.47381407
-0.22184875,2.572871602,-0.102372909,0.170261715,-0.387216143,1.069298012,-2,-0.769551079,0.494154594,1.284430734,4.41189462
-0.259637311,2.173186268,1.559786968,1.674125983,1.147676324,1.495266744,1.267406419,-0.173925197,0.1430148,-0.031517051,4.11193049
-0.096910013,2.414973348,0.06069784,0.222716471,-0.387216143,1.310055738,-2,-0.769551079,0.209515015,1.496237545,4.02689277
-0.22184875,2.247973266,-0.200659451,0.113943352,-0.387216143,1.328175661,-2,-0.769551079,0.209515015,1.48315921,3.94412231
-0.096910013,1.968482949,1.408070286,1.4407517,1.048053173,1.5774918,1.314920056,0.068185862,0.176091259,0.336459734,3.77372209
-0.187086643,2.212187604,1.547651658,1.553154548,1.011570444,1.597036665,1.194791758,-0.48148606,0.1430148,0.093421685,3.72534259
-0.096910013,2.021189299,1.356981401,1.432006687,1.063708559,1.587374172,1.299507299,0.068185862,0.176091259,0.336459734,3.4065977
-0.22184875,2.193124598,0.409933123,2.068297205,1.86254877,1.250663919,2.286995074,0.922725458,0.810904281,0.190331698,3.37340882
-0.096910013,1.707570176,1.23146959,1,1.272537777,1.169380495,-2,-0.769551079,0.404833717,1.010299957,3.35923707
-0.124938737,2.31386722,-0.086186148,0.170261715,-0.30980392,1.328175661,-2,-0.769551079,0.209515015,1.496237545,3.33919548
-0.187086643,2.238046103,1.607347777,0.983626287,0.482873584,1.1430148,0.551449998,-0.48148606,-0.091514981,-0.207608311,3.26578248
-0.15490196,2.462397998,1.647578554,1.714748761,1.397418542,1.768342059,2.007747778,0.127104798,0.73479983,0.696356389,3.11837489
-0.346787486,1.991226076,0.57054294,0.78604121,0.80685803,0.679427897,0.330413773,0.127104798,0.539076099,1.083144143,3.09370312
-0.259637311,2.269512944,0.994756945,1.875003354,1.767081621,2.010893313,2.190891717,0.068185862,0.705863712,0.696356389,3.09353263
-0.187086643,2.383815366,1.317227349,1.541704023,1.287577809,1.683317262,1.515211304,-0.301029996,0.292256071,-0.207608311,3.04945228
-0.22184875,2.247973266,1.600101256,0.983626287,0.517195898,1.169380495,0.551449998,-0.48148606,0.017033339,-0.207608311,2.86140672
-0.22184875,2.240549248,1.660960292,1.710032699,1.44870632,1.802363174,2.004708197,0,0.73479983,0.722633923,2.60867269
-0.15490196,2,1.095169351,1.796504952,1.312600439,1.731427587,2.311817412,0.428134794,0.606381365,0.571708832,2.47095675
-0.15490196,2.220108088,0.012837225,0.522444234,0.505149978,1.370328008,-0.148741651,-0.769551079,0.267171728,1.318063335,2.3944418
-0.15490196,2.245512668,1.546542663,1.731427587,1.261024834,0.999565488,1.776701184,0.178976947,0.653212514,-0.031517051,2.35193678
-0.187086643,1.770852012,0.681241237,1.735918117,1.274388796,2.080482179,1.637789829,0.50242712,0.580924976,0.336459734,2.34768009
-0.187086643,2.53529412,0.733197265,1.559786968,1.072984745,1.541079768,2.110118127,0.178976947,0.509202522,0.696356389,2.29285486
-0.15490196,2.230448921,0.496929648,2.10768472,1.920227711,1.450864692,2.267406419,0.604226053,0.810904281,0.190331698,2.28997819
-0.124938737,2.100370545,0.997386384,1.304921162,0.605305046,1.378397901,0.80685803,-0.075720714,0.209515015,0.7930916,2.17474148
-0.187086643,1.431363764,1.725993259,1.570776369,1.211387553,0.980457892,1.697490887,-0.769551079,0.385606274,0.336459734,2.12997761
